Start_Year	Start_Month	Start_Day	End_Year	End_Month	End_Day	Date(RGPS_format)	LKF_No.	Parent_LKF_No.	ind_x	ind_y	lon	lat	divergence_rate	shear_rate
2007	12	08	2007	12	11	2007342_2007345	1	0	30	159	-7.13330857257797958937e+01	8.36330952781033687415e+01	-1.50369340553879737854e-02	1.73037871718406677246e-01
2007	12	08	2007	12	11	2007342_2007345	1	0	31	159	-7.18008349469546089949e+01	8.37360027091480532135e+01	-3.16240340471267700195e-02	6.85587674379348754883e-02
2007	12	08	2007	12	11	2007342_2007345	1	0	32	158	-7.32287761813695965429e+01	8.37848983447659207968e+01	2.37024924717843532562e-03	2.13536113500595092773e-01
2007	12	08	2007	12	11	2007342_2007345	1	0	33	158	-7.37397952916880541352e+01	8.38860406127805617871e+01	-6.25914614647626876831e-03	1.79292827844619750977e-01
2007	12	08	2007	12	11	2007342_2007345	1	0	34	158	-7.42679952148927071676e+01	8.39866901822503280073e+01	-4.63629700243473052979e-02	1.51718884706497192383e-01
2007	12	08	2007	12	11	2007342_2007345	1	0	35	158	-7.48141627377986822012e+01	8.40868210949934535847e+01	-2.65553183853626251221e-02	7.85394981503486633301e-02
2007	12	08	2007	12	11	2007342_2007345	1	0	36	157	-7.63495808652430270058e+01	8.41273547931947263123e+01	-2.39557065069675445557e-02	1.50197014212608337402e-01
2007	12	08	2007	12	11	2007342_2007345	2	0	33	146	-8.38844964337146024036e+01	8.31148578683644245757e+01	-1.61781273782253265381e-02	1.28220841288566589355e-02
2007	12	08	2007	12	11	2007342_2007345	2	0	33	145	-8.46232945719492732906e+01	8.30420971366119715640e+01	-1.73832848668098449707e-02	2.34080795198678970337e-02
2007	12	08	2007	12	11	2007342_2007345	2	0	34	144	-8.59622893790228914668e+01	8.30554426122365470064e+01	-8.61464161425828933716e-03	2.08011493086814880371e-02
2007	12	08	2007	12	11	2007342_2007345	2	0	34	143	-8.66725957582734451989e+01	8.29795276693590295736e+01	-6.93586142733693122864e-03	3.26988026499748229980e-02
2007	12	08	2007	12	11	2007342_2007345	2	0	34	142	-8.73675651310135208405e+01	8.29025655192036765584e+01	-2.29540397413074970245e-03	4.52179536223411560059e-02
2007	12	08	2007	12	11	2007342_2007345	3	0	36	111	-1.04036243467926496464e+02	8.02663586483445499198e+01	-4.30415989831089973450e-03	4.96505154296755790710e-03
2007	12	08	2007	12	11	2007342_2007345	3	0	37	110	-1.04962155254326560794e+02	8.02257841386030463582e+01	-3.85481608100235462189e-03	4.31242678314447402954e-03
2007	12	08	2007	12	11	2007342_2007345	3	0	37	109	-1.05296547314430085862e+02	8.01264264733270294983e+01	-8.23618471622467041016e-03	8.29153694212436676025e-03
