Start_Year	Start_Month	Start_Day	End_Year	End_Month	End_Day	Date(RGPS_format)	LKF_No.	Parent_LKF_No.	ind_x	ind_y	lon	lat	divergence_rate	shear_rate
2003	01	05	2003	01	08	2003005_2003008	1	0	34	121	-9.89453818335389598815e+01	8.10966060646324393701e+01	-3.19859152659773826599e-03	4.73226187750697135925e-03
2003	01	05	2003	01	08	2003005_2003008	1	0	35	122	-9.91113570447840004363e+01	8.12568565615770950217e+01	-1.64114572107791900635e-02	2.52098236232995986938e-02
2003	01	05	2003	01	08	2003005_2003008	1	0	36	123	-9.92835528052613653927e+01	8.14170641118734152997e+01	-1.33136492222547531128e-02	2.67828833311796188354e-02
2003	01	05	2003	01	08	2003005_2003008	1	0	37	124	-9.94623222080256397248e+01	8.15772237316969182075e+01	-8.48451070487499237061e-03	2.20452602952718734741e-02
2003	01	05	2003	01	08	2003005_2003008	1	0	37	125	-9.90017551225613203769e+01	8.16703723395164615795e+01	3.41136544011533260345e-03	2.07997076213359832764e-02
2003	01	05	2003	01	08	2003005_2003008	1	0	37	125	-9.90017551225613203769e+01	8.16703723395164615795e+01	3.41136544011533260345e-03	2.07997076213359832764e-02
2003	01	05	2003	01	08	2003005_2003008	1	0	37	126	-9.85307656099481476986e+01	8.17629829100800975539e+01	9.75289288908243179321e-03	2.49722655862569808960e-02
2003	01	05	2003	01	08	2003005_2003008	1	0	38	127	-9.87022237899468137812e+01	8.19235453684054562018e+01	3.99042526260018348694e-03	2.70195808261632919312e-02
2003	01	05	2003	01	08	2003005_2003008	2	0	34	140	-8.87126710584749673671e+01	8.27456357010444776279e+01	1.61037798970937728882e-02	2.18232329934835433960e-02
2003	01	05	2003	01	08	2003005_2003008	2	0	34	141	-8.80474909506004053128e+01	8.28245904442585043626e+01	3.09120453894138336182e-02	6.16598129272460937500e-02
2003	01	05	2003	01	08	2003005_2003008	2	0	34	142	-8.73675651310135208405e+01	8.29025655192036765584e+01	2.55450457334518432617e-02	7.24372044205665588379e-02
2003	01	05	2003	01	08	2003005_2003008	2	0	34	143	-8.66725957582734451989e+01	8.29795276693590295736e+01	1.81901846081018447876e-02	7.21601247787475585938e-02
2003	01	05	2003	01	08	2003005_2003008	2	0	34	144	-8.59622893790228914668e+01	8.30554426122365470064e+01	1.59121248871088027954e-02	5.61579093337059020996e-02
2003	01	05	2003	01	08	2003005_2003008	2	0	34	145	-8.52363583092738394953e+01	8.31302750333540245720e+01	2.65572331845760345459e-02	6.53028562664985656738e-02
2003	01	05	2003	01	08	2003005_2003008	2	0	34	146	-8.44945221420216654451e+01	8.32039885839691493175e+01	1.88356805592775344849e-02	6.36086091399192810059e-02
2003	01	05	2003	01	08	2003005_2003008	2	0	34	146	-8.44945221420216654451e+01	8.32039885839691493175e+01	1.88356805592775344849e-02	6.36086091399192810059e-02
2003	01	05	2003	01	08	2003005_2003008	2	0	35	147	-8.43594505678431829665e+01	8.33658701741802303786e+01	2.05350127071142196655e-02	3.89369390904903411865e-02
2003	01	05	2003	01	08	2003005_2003008	2	0	35	148	-8.35812132697612355514e+01	8.34382126565716077948e+01	3.16861346364021301270e-02	4.13811430335044860840e-02
2003	01	05	2003	01	08	2003005_2003008	2	0	36	149	-8.34180553448220081236e+01	8.35998539864344678563e+01	1.21709275990724563599e-02	3.62165272235870361328e-02
2003	01	05	2003	01	08	2003005_2003008	2	0	37	150	-8.32464259644690258710e+01	8.37614652991628929612e+01	2.05229949206113815308e-02	3.76797765493392944336e-02
2003	01	05	2003	01	08	2003005_2003008	2	0	38	150	-8.39114718458048400862e+01	8.38514210275126004035e+01	1.25164287164807319641e-02	2.15367767959833145142e-02
2003	01	05	2003	01	08	2003005_2003008	2	0	39	151	-8.37459672560835457489e+01	8.40132268697147708281e+01	1.44459065049886703491e-02	1.56853366643190383911e-02
2003	01	05	2003	01	08	2003005_2003008	3	0	36	111	-1.04036243467926496464e+02	8.02663586483445499198e+01	2.58079520426690578461e-03	1.01101333275437355042e-02
2003	01	05	2003	01	08	2003005_2003008	3	0	36	112	-1.03684019752247522206e+02	8.03644475053827989086e+01	8.03213752806186676025e-03	1.07685076072812080383e-02
2003	01	05	2003	01	08	2003005_2003008	3	0	36	113	-1.03324531261890797396e+02	8.04621799269918227537e+01	3.83297191001474857330e-03	9.11948364228010177612e-03
2003	01	05	2003	01	08	2003005_2003008	3	0	37	114	-1.03553764097731672678e+02	8.06198633791653946901e+01	1.43054395448416471481e-03	1.11085614189505577087e-02
2003	01	05	2003	01	08	2003005_2003008	3	0	37	115	-1.03182965158540866923e+02	8.07174880738216984355e+01	-9.18703712522983551025e-03	1.73196792602539062500e-02
2003	01	05	2003	01	08	2003005_2003008	3	0	38	116	-1.03416183481840917580e+02	8.08753179739919403346e+01	2.06402665935456752777e-03	1.49095812812447547913e-02
2003	01	05	2003	01	08	2003005_2003008	3	0	39	117	-1.03657642505812162881e+02	8.10330252695507624594e+01	1.50955002754926681519e-03	1.89341139048337936401e-02
2003	01	05	2003	01	08	2003005_2003008	3	0	40	118	-1.03907777809854721340e+02	8.11906008884580501217e+01	-2.78557138517498970032e-03	1.51367159560322761536e-02
2003	01	05	2003	01	08	2003005_2003008	3	0	41	118	-1.04553572790712564711e+02	8.12493018635300501273e+01	3.27941123396158218384e-03	1.82672999799251556396e-02
2003	01	05	2003	01	08	2003005_2003008	3	0	42	119	-1.04826479970355677551e+02	8.14062893273245151704e+01	7.42784794420003890991e-03	1.26601019874215126038e-02
2003	01	05	2003	01	08	2003005_2003008	3	0	42	120	-1.04435974978975210092e+02	8.15053177024968533715e+01	3.89344582799822092056e-04	1.96320563554763793945e-02
2003	01	05	2003	01	08	2003005_2003008	3	0	42	121	-1.04036243467926496464e+02	8.16039557234101948779e+01	5.96514111384749412537e-03	1.85042750090360641479e-02
2003	01	05	2003	01	08	2003005_2003008	3	0	43	122	-1.04311041262606423174e+02	8.17613772381600085737e+01	2.74402648210525512695e-03	1.37470122426748275757e-02
2003	01	05	2003	01	08	2003005_2003008	3	0	44	123	-1.04596575525494188241e+02	8.19186323600888357532e+01	8.04658792912960052490e-03	1.31327137351036071777e-02
2003	01	05	2003	01	08	2003005_2003008	3	0	44	124	-1.04178064414706909702e+02	8.20174743536478558781e+01	3.87276569381356239319e-03	1.25421620905399322510e-02
2003	01	05	2003	01	08	2003005_2003008	3	0	44	125	-1.03749048983419328351e+02	8.21158924737812156991e+01	5.97014836966991424561e-03	9.91308968514204025269e-03
2003	01	05	2003	01	08	2003005_2003008	4	0	40	126	-1.00512627169921358927e+02	8.19629589312998945161e+01	5.77853154391050338745e-03	3.38050611317157745361e-02
2003	01	05	2003	01	08	2003005_2003008	4	0	40	127	-1.00042023635529531589e+02	8.20573598933811041434e+01	9.07499808818101882935e-03	4.44679409265518188477e-02
2003	01	05	2003	01	08	2003005_2003008	4	0	39	128	-9.88806591505202590042e+01	8.20840632842411110914e+01	3.50028346292674541473e-03	1.27091193571686744690e-02
2003	01	05	2003	01	08	2003005_2003008	4	0	39	131	-9.73523793598923816717e+01	8.23597542481451796448e+01	1.09766703099012374878e-02	4.89671528339385986328e-02
2003	01	05	2003	01	08	2003005_2003008	4	0	39	132	-9.68182145716518789413e+01	8.24504069692960115390e+01	3.21910753846168518066e-02	4.08605150878429412842e-02
2003	01	05	2003	01	08	2003005_2003008	4	0	38	133	-9.55872439642043616459e+01	8.24679666775020194791e+01	9.67288389801979064941e-03	1.21189281344413757324e-02
2003	01	05	2003	01	08	2003005_2003008	4	0	38	134	-9.50240752585395682672e+01	8.25563934500616909418e+01	9.65812336653470993042e-03	1.23762181028723716736e-02
2003	01	05	2003	01	08	2003005_2003008	4	0	38	135	-9.44473848500905006631e+01	8.26440942223016747903e+01	9.27510485053062438965e-03	1.18619687855243682861e-02
2003	01	05	2003	01	08	2003005_2003008	4	0	38	136	-9.38568009855898566229e+01	8.27310420261603098879e+01	7.27488007396459579468e-03	1.11906025558710098267e-02
2003	01	05	2003	01	08	2003005_2003008	4	0	38	137	-9.32519456003638964603e+01	8.28172088330464788442e+01	8.29765945672988891602e-03	1.33748594671487808228e-02
2003	01	05	2003	01	08	2003005_2003008	5	0	40	143	-9.07161599454704230538e+01	8.34787526295757089656e+01	7.68209155648946762085e-03	1.28959957510232925415e-02
2003	01	05	2003	01	08	2003005_2003008	5	0	40	142	-9.14144232114021662028e+01	8.33959157510607127506e+01	1.66101530194282531738e-02	1.77333988249301910400e-02
2003	01	05	2003	01	08	2003005_2003008	5	0	40	141	-9.20952525646238626678e+01	8.33121311880132395800e+01	1.93888172507286071777e-02	2.09111627191305160522e-02
2003	01	05	2003	01	08	2003005_2003008	5	0	40	140	-9.27591076586202945009e+01	8.32274347488516070825e+01	1.85860544443130493164e-02	2.33059469610452651978e-02
2003	01	05	2003	01	08	2003005_2003008	5	0	40	138	-9.40377106209771369549e+01	8.30554426122365470064e+01	1.38347065076231956482e-02	2.89348624646663665771e-02
2003	01	05	2003	01	08	2003005_2003008	5	0	41	137	-9.53767054280507551312e+01	8.30420971366119715640e+01	1.84239260852336883545e-02	3.32296825945377349854e-02
2003	01	05	2003	01	08	2003005_2003008	5	0	41	136	-9.59743232864806259386e+01	8.29531524861544653504e+01	2.31181848794221878052e-02	2.88533717393875122070e-02
2003	01	05	2003	01	08	2003005_2003008	5	0	41	135	-9.65569464981634126843e+01	8.28634704258569456670e+01	1.80983375757932662964e-02	2.30750497430562973022e-02
2003	01	05	2003	01	08	2003005_2003008	5	0	41	134	-9.71250163489018092378e+01	8.27730790888206371392e+01	1.36430477723479270935e-02	1.78259834647178649902e-02
2003	01	05	2003	01	08	2003005_2003008	6	0	44	106	-1.10389164780281717526e+02	8.01867245438667310964e+01	4.43366914987564086914e-03	1.66621711105108261108e-02
2003	01	05	2003	01	08	2003005_2003008	6	0	44	107	-1.10106234798359352567e+02	8.02907862564000680550e+01	5.66149130463600158691e-03	1.26389618963003158569e-02
