Start_Year	Start_Month	Start_Day	End_Year	End_Month	End_Day	Date(RGPS_format)	LKF_No.	Parent_LKF_No.	ind_x	ind_y	lon	lat	divergence_rate	shear_rate
2003	12	11	2003	12	14	2003345_2003348	1	0	33	118	-9.96281561284867223094e+01	8.07502625022885638373e+01	-1.56300775706768035889e-02	2.27965060621500015259e-02
2003	12	11	2003	12	14	2003345_2003348	1	0	34	118	-1.00213972985070512323e+02	8.08161681283021522404e+01	-1.06077771633863449097e-02	2.30615716427564620972e-02
2003	12	11	2003	12	14	2003345_2003348	1	0	35	119	-1.00397333522436369435e+02	8.09757523951314794886e+01	-3.02703268826007843018e-02	4.21525128185749053955e-02
2003	12	11	2003	12	14	2003345_2003348	1	0	37	119	-1.01618524352794651122e+02	8.11040291323076161234e+01	-9.55985579639673233032e-03	3.75135540962219238281e-02
2003	12	11	2003	12	14	2003345_2003348	1	0	38	120	-1.01833645306160690325e+02	8.12629050935877614847e+01	3.60467750579118728638e-03	1.03584542870521545410e-01
2003	12	11	2003	12	14	2003345_2003348	1	0	39	120	-1.02470461721668897326e+02	8.13251493281740636121e+01	1.08873061835765838623e-02	1.08185179531574249268e-01
2003	12	11	2003	12	14	2003345_2003348	1	0	40	120	-1.03116436125391487622e+02	8.13863152865315839790e+01	-8.59327428042888641357e-03	6.60017058253288269043e-02
2003	12	11	2003	12	14	2003345_2003348	1	0	41	120	-1.03771599717082438019e+02	8.14463793589262934347e+01	1.42655940726399421692e-02	4.44441996514797210693e-02
2003	12	11	2003	12	14	2003345_2003348	1	0	42	120	-1.04435974978975210092e+02	8.15053177024968533715e+01	-4.71969600766897201538e-03	4.61287721991539001465e-02
2003	12	11	2003	12	14	2003345_2003348	1	0	44	121	-1.05403424962469628667e+02	8.17197405051548173560e+01	7.12989130988717079163e-03	1.09571225941181182861e-01
2003	12	11	2003	12	14	2003345_2003348	1	0	45	121	-1.06101302399158441858e+02	8.17758397206226561593e+01	1.21071040630340576172e-02	8.84770601987838745117e-02
2003	12	11	2003	12	14	2003345_2003348	1	0	46	121	-1.06808691626206865521e+02	8.18307098850328600292e+01	9.77868959307670593262e-03	8.68957713246345520020e-02
2003	12	11	2003	12	14	2003345_2003348	1	0	47	121	-1.07525568373722876458e+02	8.18843256406152306681e+01	1.61682926118373870850e-02	8.86628255248069763184e-02
2003	12	11	2003	12	14	2003345_2003348	1	0	48	121	-1.08251895837078549789e+02	8.19366615453799056468e+01	4.94347931817173957825e-03	8.75888317823410034180e-02
2003	12	11	2003	12	14	2003345_2003348	1	0	49	121	-1.08987624087870187850e+02	8.19876921105455238603e+01	-1.70037709176540374756e-02	6.15681931376457214355e-02
2003	12	11	2003	12	14	2003345_2003348	1	0	50	122	-1.09374139768657613558e+02	8.21411129496767529190e+01	-1.16294273175299167633e-03	1.04317210614681243896e-01
2003	12	11	2003	12	14	2003345_2003348	1	0	51	122	-1.10136303428248140790e+02	8.21901062676320748324e+01	9.82848647981882095337e-03	1.16495102643966674805e-01
2003	12	11	2003	12	14	2003345_2003348	1	0	52	122	-1.10907980471009679491e+02	8.22377070928324229726e+01	3.56015894794836640358e-04	1.22907593846321105957e-01
2003	12	11	2003	12	14	2003345_2003348	1	0	53	122	-1.11689064964615809572e+02	8.22838892822505982849e+01	1.16006424650549888611e-03	1.23726025223731994629e-01
2003	12	11	2003	12	14	2003345_2003348	1	0	54	122	-1.12479434397103133847e+02	8.23286268540702792507e+01	5.83173427730798721313e-03	1.20405040681362152100e-01
2003	12	11	2003	12	14	2003345_2003348	1	0	55	122	-1.13278949198002706567e+02	8.23718940413330642514e+01	6.97676464915275573730e-03	1.21707946062088012695e-01
2003	12	11	2003	12	14	2003345_2003348	1	0	56	122	-1.14087452308632308018e+02	8.24136653477814746793e+01	6.09270995482802391052e-03	1.25147789716720581055e-01
2003	12	11	2003	12	14	2003345_2003348	1	0	57	122	-1.14904768808095184340e+02	8.24539156057334565730e+01	-7.32364412397146224976e-03	1.37386322021484375000e-01
2003	12	11	2003	12	14	2003345_2003348	1	0	58	122	-1.15730705601531226989e+02	8.24926200357945020869e+01	-8.13993625342845916748e-03	1.34730622172355651855e-01
2003	12	11	2003	12	14	2003345_2003348	1	0	59	122	-1.16565051177077990019e+02	8.25297543081839251045e+01	-1.68345049023628234863e-02	1.05737283825874328613e-01
2003	12	11	2003	12	14	2003345_2003348	1	0	60	123	-1.17135139622076891897e+02	8.26747689726318952808e+01	-4.18931618332862854004e-02	1.09216891229152679443e-01
2003	12	11	2003	12	14	2003345_2003348	1	0	61	124	-1.17728257422319146031e+02	8.28190535173282142978e+01	-1.36152952909469604492e-02	2.92587485164403915405e-02
2003	12	11	2003	12	14	2003345_2003348	1	0	62	124	-1.18610459665965237264e+02	8.28523400633926740966e+01	-1.53141431510448455811e-02	6.08004890382289886475e-02
2003	12	11	2003	12	14	2003345_2003348	1	0	63	124	-1.19500724623499181121e+02	8.28839217559392125168e+01	-2.30661407113075256348e-02	9.16482359170913696289e-02
2003	12	11	2003	12	14	2003345_2003348	1	0	64	124	-1.20398727714166099645e+02	8.29137755539738634525e+01	3.24144284240901470184e-03	8.85623842477798461914e-02
2003	12	11	2003	12	14	2003345_2003348	1	0	65	124	-1.21304123495590999937e+02	8.29418792990160227419e+01	-6.70245662331581115723e-03	3.18788923323154449463e-02
